id,substation_id,name,type,longitude,latitude,string,order,distance,subassembly,upstream_cable
OSS1,OSS1,OSS1,substation,0,0,,,,offshore_substation.yaml,export_220kv_1600mm.yaml
S00T1,OSS1,S00T1,turbine,0,0,0,0,1.125,turbine_csm_4mw.yaml,array_33kv_630mm.yaml
S00T2,OSS1,S00T2,turbine,0,0,0,1,1.125,turbine_csm_4mw.yaml,array_33kv_630mm.yaml
S00T3,OSS1,S00T3,turbine,0,0,0,2,1.125,turbine_csm_4mw.yaml,array_33kv_630mm.yaml
S00T4,OSS1,S00T4,turbine,0,0,0,3,1.125,turbine_csm_4mw.yaml,array_33kv_240mm.yaml
S00T5,OSS1,S00T5,turbine,0,0,0,4,1.125,turbine_csm_4mw.yaml,array_33kv_240mm.yaml
S00T6,OSS1,S00T6,turbine,0,0,0,5,1.125,turbine_csm_4mw.yaml,array_33kv_240mm.yaml
S01T1,OSS1,S01T1,turbine,0,0,1,0,1.125,turbine_csm_4mw.yaml,array_33kv_630mm.yaml
S01T2,OSS1,S01T2,turbine,0,0,1,1,1.125,turbine_csm_4mw.yaml,array_33kv_630mm.yaml
S01T3,OSS1,S01T3,turbine,0,0,1,2,1.125,turbine_csm_4mw.yaml,array_33kv_630mm.yaml
S01T4,OSS1,S01T4,turbine,0,0,1,3,1.125,turbine_csm_4mw.yaml,array_33kv_240mm.yaml
S01T5,OSS1,S01T5,turbine,0,0,1,4,1.125,turbine_csm_4mw.yaml,array_33kv_240mm.yaml
S01T6,OSS1,S01T6,turbine,0,0,1,5,1.125,turbine_csm_4mw.yaml,array_33kv_240mm.yaml
S02T1,OSS1,S02T1,turbine,0,0,2,0,1.125,turbine_csm_4mw.yaml,array_33kv_630mm.yaml
S02T2,OSS1,S02T2,turbine,0,0,2,1,1.125,turbine_csm_4mw.yaml,array_33kv_630mm.yaml
S02T3,OSS1,S02T3,turbine,0,0,2,2,1.125,turbine_csm_4mw.yaml,array_33kv_630mm.yaml
S02T4,OSS1,S02T4,turbine,0,0,2,3,1.125,turbine_csm_4mw.yaml,array_33kv_240mm.yaml
